hazard_type,lat,lon
fuel,33.2185598,35.2843577
fuel,33.0619152,35.2141725
fuel,33.1664342,35.3380233
fuel,33.1137968,35.4077581
fuel,33.2066472,35.5700702
fuel,33.2114176,35.569267
fuel,33.2183158,35.6256918
fuel,33.2758234,35.2731514
fuel,33.076033,35.1417946
fuel,33.2397794,35.6795208
fuel,33.2235903,35.6158295
fuel,33.1373475,35.4273057
fuel,33.2415595,35.5758867
fuel,33.2746797,35.2135232
fuel,33.2362759,35.3434923
fuel,33.1458721,35.4078144
fuel,33.1311477,35.4178539
fuel,33.192964,35.5693023
fuel,33.291297,35.2549365
fuel,33.2028033,35.5691402
fuel,33.1701792,35.5710374
fuel,33.1942245,35.6569695
fuel,33.3255261,35.4284661
fuel,33.1464016,35.4083889
fuel,33.2976014,35.2743155
restaurant,33.2101187,35.2944539
restaurant,33.2633159,35.2191473
restaurant,33.3001633,35.3135591
restaurant,33.2795201,35.578946
restaurant,33.2304169,35.6213263
restaurant,33.2284997,35.6409479
restaurant,33.2232647,35.6154391
restaurant,33.3002424,35.3138123
restaurant,33.0686255,35.136445
restaurant,33.2182713,35.5842044
restaurant,33.1705669,35.5699544
restaurant,33.1928711,35.5707912
restaurant,33.2478919,35.6922438
restaurant,33.2750078,35.1946538
restaurant,33.2643702,35.2058926
restaurant,33.228048,35.6456534
restaurant,33.1249512,35.5703548
restaurant,33.2005193,35.6068718
restaurant,33.2568722,35.2164053
restaurant,33.2233039,35.6153083
restaurant,33.2259358,35.6379198
restaurant,33.1959314,35.5705074
restaurant,33.2775325,35.5777303
restaurant,33.1929071,35.571015
restaurant,33.2893449,35.2269572
power,33.1626338,35.3486099
power,33.1514729,35.326293
power,33.1639441,35.3466279
power,33.1675938,35.5802318
power,33.1269405,35.5691761
power,33.1261786,35.5694299
power,33.0554483,35.4978337
power,33.1640672,35.3468472
power,33.1513971,35.3260456
power,33.1761141,35.5737748
power,33.2110186,35.5840153
power,33.1263318,35.5693328
power,33.1266115,35.5692964
power,33.1747159,35.3903263
power,33.1636378,35.3460305
power,33.0510833,35.6224275
power,33.0511056,35.621815
power,33.1268458,35.5692081
power,33.1478199,35.3948857
power,33.2474666,35.6913668
power,33.2110541,35.5836845
power,33.0514715,35.5041015
power,33.1651319,35.5813234
power,33.219689,35.6234546
power,33.2750422,35.2279073
vegetation,33.3206188,35.5817405
vegetation,33.3067653,35.5957827
vegetation,33.3228791,35.5795672
vegetation,33.2762521,35.7412719
vegetation,33.2978296,35.7147609
vegetation,33.2283647,35.731889
vegetation,33.3005109,35.7600795
vegetation,33.3212982,35.5780506
vegetation,33.3021853,35.5980695
vegetation,33.3178234,35.7567751
vegetation,33.3552196,35.7628394
vegetation,33.3013806,35.753331
vegetation,33.0844449,35.7679701
vegetation,33.334277,35.579638
vegetation,33.2990066,35.5878777
vegetation,33.280448,35.7440077
vegetation,33.3162441,35.7453381
vegetation,33.2816064,35.747913
vegetation,33.297805,35.5835003
vegetation,33.067792,35.7605445
vegetation,33.3495281,35.7346113
vegetation,33.2823901,35.7130013
vegetation,33.3118087,35.7445924
vegetation,33.3117729,35.7205974
vegetation,33.3422723,35.585453
